Name	Number	scaledSize	GettyLat	GettyLon	Size(ha)
Veii	1	3.7	42.0333	12.4	185
Cerveteri	2	3.2	42	12.1	160
Vetulonia	3	2	42.85	10.9667	100
Populonia	4	3	42.9833	10.4833	150
Volterra	5	2	43.4	10.85	100
Chiusi	6	1	43.0167	11.95	50
Bisenzio	7	0.7	42.57	11.87	35
Acquarossa	8	0.6	42.4833	12.1333	30
Perugia	9	0.64	43.1333	12.3667	32
Gravisca	10	0.48	42.2	11.7167	24
Gubbio	11	0.4	43.35	12.5833	20
Assisi	12	0.4	43.0667	12.6167	20
CittaDiCastello	13	0.4	43.45	12.2333	20
Tarquinia	14	3	42.25	11.75	150
Vulci	15	2.52	42.4167	11.5833	126
Roselle	16	0.8	42.8	11.1333	40
Murlo	17	0.2	43.15	11.3833	10
Pisa	18	0.4	43.7167	10.3833	20
Orvieto	19	1.7	42.7167	12.1167	85
Arezzo	20	0.64	43.4167	11.8833	32
Cortona	21	0.6	43.2667	11.9833	30
CivitaCastellano	22	0.52	42.2833	12.4167	26
Fiesole	23	0.6	43.8	11.2833	30
Todi	24	0.4	42.7833	12.4	20
Spoleto	25	0.4	42.7333	12.7333	20
