Name	Veii	Cerveteri	Vetulonia	Populonia	Volterra	Chiusi	Bisenzio	Acquarossa	Perugia	Gravisca	Gubbio	Assisi	CittaDiCastello	Tarquinia	Vulci	Roselle	Murlo	Pisa	Orvieto	Arezzo	Cortona	CivitaCastellano	Fiesole	Todi	Spoleto
Size	3.7	3.2	2	3	2	1	0.7	0.6	0.64	0.48	0.4	0.4	0.4	3	2.52	0.8	0	0.4	1.7	0.64	0.6	0.52	0.6	0.4	0.4
Latitude_N	42.0333	42.0	42.85	42.9833	43.4	43.0167	42.57	42.4833	43.1333	42.2	43.35	43.0667	43.45	42.25	42.4167	42.8	43.15	43.7167	42.7167	43.4167	43.2667	42.2833	43.8	42.7833	42.7333
Longitude_E	12.4	12.1	10.9667	10.4833	10.85	11.95	11.87	12.1333	12.3667	11.7167	12.5833	12.6167	12.2333	11.75	11.5833	11.1333	11.3833	10.3833	12.1167	11.8833	11.9833	12.4167	11.2833	12.4	12.7333
*Distance	Veii	Cerveteri	Vetulonia	Populonia	Volterra	Chiusi	Bisenzio	Acquarossa	Perugia	Gravisca	Gubbio	Assisi	CittaDiCastello	Tarquinia	Vulci	Roselle	Murlo	Pisa	Orvieto	Arezzo	Cortona	CivitaCastellano	Fiesole	Todi	Spoleto
Veii	0.0	35.562	211.348	273.882	281.576	169.685	105.306	80.265	172.109	86.89	210.639	167.102	226.758	86.013	114.85	189.513	217.184	353.555	116.287	234.488	206.614	39.458	321.47	119.125	123.343
Cerveteri	35.562	0.0	184.616	244.138	272.019	161.913	96.519	75.481	184.576	55.376	228.036	185.197	231.782	57.043	88.839	167.83	207.459	342.57	111.772	226.572	199.204	57.297	312.587	132.723	142.192
Vetulonia	211.348	184.616	0.0	63.167	91.235	120.445	118.532	153.116	174.511	133.638	213.201	197.825	181.481	127.657	97.273	21.827	68.097	160.643	137.267	139.303	139.772	197.194	161.291	168.402	210.287
Populonia	273.882	244.138	63.167	0.0	82.606	167.867	180.812	215.684	221.29	191.405	258.785	244.711	227.099	188.645	161.013	84.108	111.944	122.409	199.209	184.069	185.639	259.712	164.937	228.379	270.69
Volterra	281.576	272.019	91.235	82.606	0.0	147.083	179.346	209.16	186.407	223.281	204.605	218.091	165.105	217.297	184.553	106.177	75.439	73.525	186.181	119.817	135.079	253.958	82.638	212.304	253.16
Chiusi	169.685	161.913	120.445	167.867	147.083	0.0	72.218	89.752	54.235	134.704	93.726	77.49	80.59	125.664	108.085	104.943	71.546	219.6	53.346	64.874	39.691	132.909	151.886	65.633	106.339
Bisenzio	105.306	96.519	118.532	180.812	179.346	72.218	0.0	34.871	109.283	62.827	153.372	117.035	152.49	53.773	41.508	96.746	111.89	251.72	36.723	133.739	111.591	78.899	216.076	73.33	108.13
Acquarossa	80.265	75.481	153.116	215.684	209.16	89.752	34.871	0.0	109.894	64.406	153.291	112.262	158.058	57.312	65.464	131.618	137.278	281.535	38.248	154.376	126.681	44.967	241.358	58.677	84.614
Perugia	172.109	184.576	174.511	221.29	186.407	54.235	109.283	109.894	0.0	171.646	44.054	32.525	55.069	162.592	146.538	159.009	112.866	258.498	75.421	80.536	51.987	132.382	168.701	54.81	77.96
Gravisca	86.89	55.376	133.638	191.405	223.281	134.704	62.827	64.406	171.646	0.0	215.043	175.314	214.989	9.054	38.749	117.551	159.831	293.277	96.665	193.08	174.091	83.32	266.135	121.73	149.071
Gubbio	210.639	228.036	213.201	258.785	204.605	93.726	153.372	153.291	44.054	215.043	0.0	46.926	46.012	205.989	190.478	197.666	147.936	270.721	118.818	85.643	74.457	171.261	176.661	95.614	102.714
Assisi	167.102	185.197	197.825	244.711	218.091	77.49	117.035	112.262	32.525	175.314	46.926	0.0	77.218	166.597	157.911	182.323	142.846	290.181	81.269	108.78	83.734	128.652	200.448	53.605	56.094
CittaDiCastello	226.758	231.782	181.481	227.099	165.105	80.59	152.49	158.058	55.069	214.989	46.012	77.218	0.0	205.935	188.625	166.809	115.954	225.221	120.732	44.53	45.01	187.389	131.161	109.846	132.309
Tarquinia	86.013	57.043	127.657	188.645	217.297	125.664	53.773	57.312	162.592	9.054	205.989	166.597	205.935	0.0	32.765	111.524	153.847	287.271	87.611	184.506	165.037	76.619	260.15	113.013	142.209
Vulci	114.85	88.839	97.273	161.013	184.553	108.085	41.508	65.464	146.538	38.749	190.478	157.911	188.625	32.765	0.0	78.991	121.202	254.843	78.249	166.55	147.726	101.184	227.385	114.839	149.998
Roselle	189.513	167.83	21.827	84.108	106.177	104.943	96.746	131.618	159.009	117.551	197.666	182.323	166.809	111.524	78.991	0.0	65.362	175.811	116.729	131.262	124.662	175.645	163.212	149.467	189.749
Murlo	217.184	207.459	68.097	111.944	75.439	71.546	111.89	137.278	112.866	159.831	147.936	142.846	115.954	153.847	121.202	65.362	0.0	148.252	110.587	73.024	74.477	180.808	106.731	136.767	177.796
Pisa	353.555	342.57	160.643	122.409	73.525	219.6	251.72	281.535	258.498	293.277	270.721	290.181	225.221	287.271	254.843	175.811	148.252	0.0	258.455	187.532	207.021	326.312	106.103	284.577	325.251
Orvieto	116.287	111.772	137.267	199.209	186.181	53.346	36.723	38.248	75.421	96.665	118.818	81.269	120.732	87.611	78.249	116.729	110.587	258.455	0.0	118.149	90.275	79.511	205.131	36.898	74.739
Arezzo	234.488	226.572	139.303	184.069	119.817	64.874	133.739	154.376	80.536	193.08	85.643	108.78	44.53	184.506	166.55	131.262	73.024	187.532	118.149	0.0	28.4	197.712	93.933	121.29	150.083
Cortona	206.614	199.204	139.772	185.639	135.079	39.691	111.591	126.681	51.987	174.091	74.457	83.734	45.01	165.037	147.726	124.662	74.477	207.021	90.275	28.4	0.0	169.837	116.482	93.058	121.851
CivitaCastellano	39.458	57.297	197.194	259.712	253.958	132.909	78.899	44.967	132.382	83.32	171.261	128.652	187.389	76.619	101.184	175.645	180.808	326.312	79.511	197.712	169.837	0.0	284.694	78.648	85.071
Fiesole	321.47	312.587	161.291	164.937	82.638	151.886	216.076	241.358	168.701	266.135	176.661	200.448	131.161	260.15	227.385	163.212	106.731	106.103	205.131	93.933	116.482	284.694	0.0	209.073	237.887
Todi	119.125	132.723	168.402	228.379	212.304	65.633	73.33	58.677	54.81	121.73	95.614	53.605	109.846	113.013	114.839	149.467	136.767	284.577	36.898	121.29	93.058	78.648	209.073	0.0	40.708
Spoleto	123.343	142.192	210.287	270.69	253.16	106.339	108.13	84.614	77.96	149.071	102.714	56.094	132.309	142.209	149.998	189.749	177.796	325.251	74.739	150.083	121.851	85.071	237.887	40.708	0.0
