Origin, Destination, Flow
0,	1,	69.9531176147
0,	2,	2.68557752668
0,	3,	2.68417337656
0,	4,	2.26595603814
0,	5,	2.25753809946
0,	7,	6.9015466724
0,	8,	1.31715671182
0,	9,	2.59259843762
0,	11,	0.97954195502
0,	13,	23.234789614
0,	14,	7.45823244552
0,	15,	1.24217403139
0,	18,	7.66567852437
0,	19,	1.06543183454
0,	20,	1.15491820243
0,	21,	22.7962085308
0,	23,	1.52517825312
0,	24,	1.43802521008
1,	0,	85.7971014493
1,	2,	2.29213225603
1,	3,	2.0979020979
1,	4,	1.69491525424
1,	5,	1.76899178524
1,	7,	2.45073793379
1,	8,	1.02991169312
1,	9,	2.16379932733
1,	13,	19.8664190262
1,	14,	8.00248092787
1,	15,	1.13992590482
1,	18,	3.94928364786
1,	21,	5.20020313293
2,	0,	1.00116351435
2,	1,	1.30066073565
2,	3,	36.9458128079
2,	4,	8.33333333333
2,	5,	0.866588673686
2,	6,	1.18609490115
2,	13,	3.76061433396
2,	14,	5.98859315589
2,	15,	28.5714285714
2,	16,	1.14942528736
2,	18,	0.964972628835
3,	0,	2.125405295
3,	1,	2.76426360018
3,	2,	60.0
3,	4,	25.7142857143
3,	5,	1.58822258834
3,	6,	4.12087912088
3,	9,	1.39180638427
3,	13,	6.77065048398
3,	14,	9.56687532691
3,	15,	6.59340659341
3,	16,	1.30662020906
3,	17,	2.81425891182
3,	18,	2.17118841488
3,	19,	1.1226407004
3,	20,	0.867945053292
3,	22,	3.05879687323
4,	0,	0.918136926475
4,	1,	1.10863515926
4,	2,	9.11369332422
4,	3,	38.9863547758
4,	5,	1.53111688853
4,	6,	25.9259259259
4,	13,	1.85234581073
4,	14,	2.91916011593
4,	15,	1.85335341133
4,	17,	1.28266794933
4,	18,	1.38165551589
4,	19,	1.27619693314
4,	20,	1.0608241189
4,	22,	1.62447542981
5,	7,	0.93247628402
5,	8,	1.77332476226
5,	13,	1.26315789474
5,	14,	2.10427870002
5,	18,	16.0984848485
5,	19,	2.46115982157
5,	20,	18.75
5,	23,	0.876869925115
6,	2,	1.65029840089
6,	4,	11.4219114219
6,	19,	0.885575511126
6,	22,	16.1538461538
7,	1,	0.983062649763
7,	13,	2.69617143656
7,	18,	22.1739130435
7,	21,	1.44310823312
8,	5,	1.8779342723
8,	10,	5.47008547009
8,	11,	12.3076923077
8,	12,	3.09178743961
8,	18,	1.63658243081
8,	20,	1.93158953722
8,	23,	1.98757763975
9,	13,	20.6896551724
9,	14,	1.39034482759
10,	8,	4.44444444444
10,	11,	10.0
10,	12,	1.2077294686
11,	8,	12.3076923077
11,	10,	2.13675213675
11,	18,	1.18698505795
11,	24,	1.2077294686
12,	8,	3.12195121951
12,	19,	1.36927685066
12,	20,	12.0
13,	0,	8.81164979487
13,	1,	26.0869565217
13,	2,	2.46863191711
13,	3,	1.84385926573
13,	4,	1.48967161017
13,	5,	1.71207860039
13,	7,	2.99467613132
13,	9,	20.6896551724
13,	14,	54.3103448276
13,	15,	1.22894409124
13,	18,	6.78793256433
13,	21,	1.69283078926
14,	0,	3.55608129542
14,	1,	9.07767354597
14,	2,	3.12074303406
14,	3,	1.34042553191
14,	4,	1.08620689655
14,	5,	1.94094993582
14,	7,	4.81090909091
14,	9,	4.60173913043
14,	13,	68.4782608696
14,	15,	5.20098280098
14,	18,	8.0158004158
15,	2,	28.5714285714
15,	3,	1.21349405388
15,	4,	1.54178230034
15,	14,	4.86956521739
16,	2,	1.33333333333
16,	15,	8.0
17,	3,	1.85185185185
17,	4,	16.6666666667
18,	0,	1.67717548152
18,	1,	2.43959573619
18,	5,	14.4644644645
18,	7,	22.1739130435
18,	8,	5.75912317848
18,	13,	9.38482321461
18,	14,	3.61153978902
18,	20,	3.26730882286
18,	21,	3.56242058751
18,	23,	9.307568438
19,	5,	4.73022912047
19,	8,	1.51367331855
19,	12,	4.02832415421
19,	18,	1.25751271382
19,	20,	15.4838709677
20,	5,	6.48041474654
20,	8,	1.33037694013
20,	12,	1.21753246753
20,	18,	1.87334704672
20,	19,	15.4838709677
21,	0,	22.7962085308
21,	1,	1.11919371695
22,	2,	0.98093712193
22,	4,	8.39160839161
22,	6,	16.1538461538
23,	18,	16.1904761905
24,	8,	2.31884057971
24,	11,	3.33333333333
24,	18,	1.41938715872
24,	21,	0.957995578482
24,	23,	10.0
